render,scene,backend,integrator,sampler,resolution,spp,max depth,rr depth,spectrum,time consumption
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,RGB,3.18m
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,3.7189m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,5.2948m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,5.7015m
Mitsuba2,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,58.201m
Mitsuba2,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,Error
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,9.3324m
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,9.8577m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,5,RGB,10.371m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,5,Spectral,15.662m
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,RGB,1.634m
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,1.8563m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,2.7404m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,2.841m
Mitsuba2,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,26.809m
Mitsuba2,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,Error
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,4.1985m
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,4.5482m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,RGB,4.4848m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,5.449m
