render,scene,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,coffee,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.1s
LuisaRender,coffee,WavePath,Independent,"(800, 1000)",1024,12,Spectral,4.5s
LuisaRender,coffee,WavePath,Independent,"(800, 1000)",1024,16,RGB,3.3s
LuisaRender,coffee,WavePath,Independent,"(800, 1000)",1024,16,Spectral,4.9s
LuisaRender,coffee,MegaPath,Independent,"(800, 1000)",1024,12,RGB,5.8s
LuisaRender,coffee,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,8.5s
LuisaRender,coffee,MegaPath,Independent,"(800, 1000)",1024,16,RGB,6.6s
LuisaRender,coffee,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,9.2s
LuisaRender,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,12,RGB,11.1s
LuisaRender,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,15.5s
LuisaRender,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,16,RGB,12.0s
LuisaRender,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,16.5s
LuisaRender,glass-of-water,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,12.5s
LuisaRender,glass-of-water,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,21.7s
LuisaRender,glass-of-water,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,14.0s
LuisaRender,glass-of-water,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,23.0s
LuisaRender,living-room,WavePath,Independent,"(1920, 1080)",1024,12,RGB,40.0s
LuisaRender,living-room,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,53.1s
LuisaRender,living-room,WavePath,Independent,"(1920, 1080)",1024,16,RGB,52.5s
LuisaRender,living-room,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,69.0s
LuisaRender,living-room,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,26.4s
LuisaRender,living-room,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,45.4s
LuisaRender,living-room,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,35.1s
LuisaRender,living-room,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,58.1s
LuisaRender,spaceship,WavePath,Independent,"(1920, 1080)",1024,12,RGB,11.7s
LuisaRender,spaceship,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,17.3s
LuisaRender,spaceship,WavePath,Independent,"(1920, 1080)",1024,16,RGB,13.1s
LuisaRender,spaceship,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,19.4s
LuisaRender,spaceship,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,18.0s
LuisaRender,spaceship,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,32.7s
LuisaRender,spaceship,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,20.6s
LuisaRender,spaceship,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,36.1s
LuisaRender,staircase,WavePath,Independent,"(720, 1280)",1024,12,RGB,21.8s
LuisaRender,staircase,WavePath,Independent,"(720, 1280)",1024,12,Spectral,28.6s
LuisaRender,staircase,WavePath,Independent,"(720, 1280)",1024,16,RGB,29.6s
LuisaRender,staircase,WavePath,Independent,"(720, 1280)",1024,16,Spectral,37.9s
LuisaRender,staircase,MegaPath,Independent,"(720, 1280)",1024,12,RGB,16.0s
LuisaRender,staircase,MegaPath,Independent,"(720, 1280)",1024,12,Spectral,24.6s
LuisaRender,staircase,MegaPath,Independent,"(720, 1280)",1024,16,RGB,21.4s
LuisaRender,staircase,MegaPath,Independent,"(720, 1280)",1024,16,Spectral,32.1s
Mitsuba2,coffee,WavePath,Independent,"(800, 1000)",1024,12,RGB,2.4802m
Mitsuba2,coffee,WavePath,Independent,"(800, 1000)",1024,12,Spectral,2.8451m
Mitsuba2,coffee,WavePath,Independent,"(800, 1000)",1024,16,RGB,3.163m
Mitsuba2,coffee,WavePath,Independent,"(800, 1000)",1024,16,Spectral,3.6442m
Mitsuba2,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,12,RGB,4.3484m
Mitsuba2,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,4.842m
Mitsuba2,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,16,RGB,5.3975m
Mitsuba2,glass-of-water,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,5.752m
Mitsuba2,living-room,WavePath,Independent,"(1920, 1080)",1024,12,RGB,53.463m
Mitsuba2,living-room,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,Error
